Name,Score
Dinner Mate,8.0
So I Married an Anti-Fan,8.0
Less Than Evil,8.0
One Fine Week,8.0
It's Okay to Be Sensitive Season 2,8.0
Love Playlist,8.0
Real:Time:Love Season 2,8.0
Undercover,8.0
Pied Piper,8.0
The Emperor: Owner of the Mask,8.0
It's Beautiful Now,8.0
The Boy Next Door,8.0
Never Give Up,8.0
"Seo Yeong, My Daughter",8.0
Spring Turns to Spring,8.0
The Lies Within,8.0
My Husband Got a Family,8.0
"Poong, the Joseon Psychiatrist",8.0
Family's Honor,8.0
Fall for You,8.0
"Smile, You",8.0
Goodbye to Goodbye,8.0
The Great Shaman Ga Doo Shim,8.0
"Please Come Back, Mister",8.0
Last,8.0
"That Winter, the Wind Blows",8.0
Take 1,8.0
Lovestruck in the City,7.9
School 2021,7.9
Today's Webtoon,7.9
Dr. Brain,7.9
IRIS,7.9
Falsify,7.9
Family,7.9
Something in the Rain,7.9
Witch's Romance,7.9
Secret Mother,7.9
Just Dance,7.9
Queen of Mystery Season 2,7.9
Priest,7.9
Gap Dong,7.9
Kiss Goblin,7.9
Just One Bite Season 2,7.9
Cross,7.9
Missing You,7.9
W.H.Y.,7.9
The Queen's Classroom,7.9
"Poong, the Joseon Psychiatrist Season 2",7.9
Let's Eat Season 2,7.9
Brain Works,7.9
Arang and the Magistrate,7.9
Love Affairs in the Afternoon,7.9
Doctor Lawyer,7.9
Police University,7.9
Queen of the Ring,7.9
Kiss Scene in Yeonnamdong,7.9
Let Me Be Your Knight,7.9
My Golden Life,7.9
Hope or Dope 2,7.9
Be My Boyfriend,7.9
Queen: Love And War,7.9
Miss Independent Ji Eun Season 2,7.9
Emergency Couple,7.9
Mrs. Cop,7.9
My Beautiful Bride,7.9
Big Issue,7.9
Cheo Yong Season 2,7.9
Eve,7.9
The Three Musketeers,7.9
Mental Coach Jegal,7.9
My ID Is Gangnam Beauty,7.9
Hwang Jin Yi,7.9
Scripting Your Destiny,7.9
Good Job,7.9
River Where the Moon Rises,7.9
Let's Eat,7.9
My Lovely Sam Soon,7.9
Moebius: The Veil,7.9
All About My Mom,7.9
Miss Independent Ji Eun,7.9
Marry Me Now,7.9
Devilish Joy,7.9
Sandglass,7.9
Heart to Heart,7.9
The One and Only,7.9
Decoy,7.9
Tracer,7.9
Where Stars Land,7.9
Super Family,7.9
Nice Witch,7.9
The Gentlemen of Wolgyesu Tailor Shop,7.9
Money Game,7.9
City Hall,7.9
Delivery Man,7.9
The Painter of the Wind,7.9
Joseon Exorcist,7.9
Hospital Ship,7.9
The Girl Who Sees Scents,7.9
"My Lawyer, Mr. Jo",7.9
High Kick Through the Roof!,7.9
Should We Kiss First?,7.9
Wednesday 3:30 PM,7.9
"Saimdang, Light’s Diary",7.9
Doctor Stranger,7.9
A Poem a Day,7.9
Stairway to Heaven,7.9
Hope or Dope,7.9
Shining Inheritance,7.9
Different Dreams,7.9
"Hur Jun, the Original Story",7.9
Sweet Revenge,7.9
We Are Peaceful Brothers,7.9
Two Cops,7.9
Roommates of Poongduck 304,7.9
My Wife’s Having an Affair this Week,7.9
Cain and Abel,7.9
Lucifer,7.9
So Not Worth it,7.9
Matrimonial Chaos,7.9
Sad Love Story,7.9
Kkondae  Intern,7.9
Good Casting,7.9
Dating Class,7.9
"Cheat On Me, if You Can",7.9
The Temperature of Language: Our Nineteen,7.9
Unintentional Love Story,7.9
Anna,7.9
Road Number One,7.9
Strongest Deliveryman,7.9
Bride of the Century,7.9
One More Happy Ending,7.9
Secret Royal Inspector & Joy,7.9
Maids,7.9
Doctors,7.9
A Wife’s Credentials,7.9
Ga Doo Ri’s Sushi Restaurant,7.9
Just One Bite,7.9
Trap,7.9
Can You Deliver Time? 2002,7.9
Switch: Change the World,7.9
Timing,7.9
Your House Helper,7.9
Love After School,7.9
The Incarnation of Money,7.9
Adult Trainee,7.9
Glorious Day,7.8
Naked Fireman,7.8
20th Century Boy and Girl,7.8
The Cursed,7.8
Tracer Season 2,7.8
Forest,7.8
Perfume,7.8
Jejoongwon,7.8
Come! Jang Bo Ri,7.8
You Make Me Dance,7.8
Abyss,7.8
Ja Myung Go,7.8
Grand Prince,7.8
Shadow Detective,7.8
How to Buy a Friend,7.8
Sweet Revenge Season 2,7.8
I Need Romance Season 3,7.8
How to Hate You,7.8
The King in Love,7.8
Flower Grandpa Investigation Unit,7.8
The Game: Towards Zero,7.8
The Wind Blows,7.8
When My Love Blooms,7.8
The Mermaid Prince: The Beginning,7.8
When You Love Yourself,7.8
CHIP-IN,7.8
Horse Doctor,7.8
Cunning Single Lady,7.8
User Not Found,7.8
The Great Show,7.8
"Beautiful Love, Wonderful Life",7.8
Soul Mechanic,7.8
When You Love Yourself Season 2,7.8
Criminal Minds,7.8
Girlfriend Project Day 1,7.8
"Miss Ma, Nemesis",7.8
IN-SEOUL Season 2,7.8
"The Great King, Sejong",7.8
The Scholar Who Walks the Night,7.8
Cherry Blossoms After Winter,7.8
Yellow Boots,7.8
Introverted Boss,7.8
Flower Crew: Joseon Marriage Agency,7.8
You Raise Me Up,7.8
One Fine Week Season 2,7.8
My Dangerous Wife,7.8
Jang Ok Jung,7.8
Plus Nine Boys,7.8
Cat's Bar,7.8
The Flower in Prison,7.8
Return,7.8
Goong,7.8
Ending Again,7.8
Hong Gil Dong,7.8
The Village: Achiara's Secret,7.8
Out of Breath,7.8
Yong Pal,7.8
Beautiful Gong Shim,7.8
My Only Love Song,7.8
Late Night Restaurant,7.8
I Have a Lover,7.8
King Maker: The Change of Destiny,7.8
Man to Man,7.8
King Gwanggaeto the Great,7.8
Room No. 9,7.8
Awl,7.8
Between Friendship and Love Season 3,7.8
Crash! Insignificant Roommates,7.8
Justice,7.8
Oh My Baby,7.8
Longing Heart,7.8
My Love Eun Dong,7.8
A Love So Beautiful,7.8
My Girl,7.8
Sisyphus: The Myth,7.8
Cinderella and the Four Knights,7.8
Emperor of the Sea,7.8
The World of My 17,7.8
Dear My Name,7.8
Sketch,7.8
Love in Contract,7.8
My Sassy Girl,7.8
Like,7.8
Connect,7.8
Seventeen,7.8
"Not Alright, But It's Alright",7.8
"Alice, the Final Weapon",7.8
On the Way to the Airport,7.8
Payback: Money and Power,7.8
A Man's Story,7.8
Judge vs. Judge,7.8
The Heavenly Idol,7.8
The Royal Gambler,7.8
Love with Flaws,7.8
The Ghost Detective,7.8
Mr. Heart,7.8
Secret Love Affair,7.8
Homemade Love Story,7.8
Moonshine,7.8
The King of Dramas,7.8
Short,7.8
Single & Ready to Mingle,7.8
Heaven's Garden,7.8
A Shoulder to Cry On,7.8
Please Don't Date Him,7.8
Feel Good to Die,7.8
Best Mistake,7.8
Sign,7.8
Mother of Mine,7.8
Romanced,7.8
Lucky Romance,7.8
Let's Eat Season 3,7.7
Curtain Call,7.7
Jugglers,7.7
Flower Ever After,7.7
Jang Young Shil,7.7
Dr. Park’s Clinic,7.7
